,fullname,team,team_code,birthdate,country,height,weight,birthplace,one_day_race_pts,gc_pts,tt_pts,sprint_pts,climb_pts,pcs_ranking,uci_ranking,number_wins,pts_pcs_2023,rank_pcs_2023,pts_pcs_2022,rank_pcs_2022,pts_pcs_2021,rank_pcs_2021,pts_pcs_2020,rank_pcs_2020,pts_pcs_2019,rank_pcs_2019,rider_code,rider_url
54,eddy  finé ,cofidis,cofidis-2023,1997-11-20,france,1.8,70.0,herbeys,86,45,0,8,76,568,690,0,8,558,75,572,35,808,9,1170,15,1481,eddy-fine,https://www.procyclingstats.com/rider/eddy-fine
55,andre  carvalho ,cofidis,cofidis-2023,1997-10-31,portugal,1.81,66.0,vila nova de famalicão,96,8,0,30,21,968,2794,0,10,541,20,1156,28,918,14,1038,36,1038,andre-carvalho,https://www.procyclingstats.com/rider/andre-carvalho
56,thomas  champion ,cofidis,cofidis-2023,1999-09-08,france,1.93,70.0,saint-sébastien-sur-loire,20,58,16,0,27,914,2263,0,0,0,35,895,30,872,17,950,0,0,thomas-champion,https://www.procyclingstats.com/rider/thomas-champion
57,axel  mariault ,cofidis,cofidis-2023,1998-06-07,france,1.69,58.0,liffré,24,30,0,2,80,624,859,0,7,586,62,639,1,2102,0,0,0,0,axel-mariault,https://www.procyclingstats.com/rider/axel-mariault
58,hugo  toumire ,cofidis,cofidis-2023,2001-10-05,france,1.8,69.0,rouen,12,39,0,4,29,1255,1518,0,0,0,31,943,20,1050,0,0,0,0,hugo-toumire,https://www.procyclingstats.com/rider/hugo-toumire
59,harrison  wood ,cofidis,cofidis-2023,2000-06-14,great britain,1.85,64.0,none,5,5,5,4,7,1526,0,0,10,529,0,0,0,0,0,0,0,0,harrison-wood,https://www.procyclingstats.com/rider/harrison-wood
60,rigoberto  urán ,ef education-easypost,ef-education-easypost-2023,1987-01-26,colombia,1.73,63.0,urrao,3076,5587,1757,760,7641,75,90,15,0,0,612,72,700,56,352,100,525,113,rigoberto-uran,https://www.procyclingstats.com/rider/rigoberto-uran
61,richard  carapaz ,ef education-easypost,ef-education-easypost-2023,1993-05-29,ecuador,1.7,62.0,el carmelo,781,3152,439,101,4140,20,18,18,15,425,1204,21,1306,15,1113,11,986,34,richard-carapaz,https://www.procyclingstats.com/rider/richard-carapaz
62,esteban  chaves ,ef education-easypost,ef-education-easypost-2023,1990-01-17,colombia,1.64,55.0,bogota,1155,3071,225,164,4183,120,93,17,27,275,444,129,701,55,368,91,350,187,johan-esteban-chaves,https://www.procyclingstats.com/rider/johan-esteban-chaves
63,magnus  cort ,ef education-easypost,ef-education-easypost-2023,1993-01-16,denmark,1.83,68.0,rønne,990,904,696,1776,1822,89,136,25,128,77,440,132,625,70,216,154,203,317,magnus-cort-nielsen,https://www.procyclingstats.com/rider/magnus-cort-nielsen
64,jens  keukeleire ,ef education-easypost,ef-education-easypost-2023,1988-11-23,belgium,1.85,69.0,brugge,2001,1129,163,1462,951,688,1557,11,20,355,43,805,55,650,158,216,528,111,jens-keukeleire,https://www.procyclingstats.com/rider/jens-keukeleire
65,hugh  carthy ,ef education-easypost,ef-education-easypost-2023,1994-07-09,great britain,1.93,69.0,preston,265,2227,388,31,2264,104,146,7,37,227,463,121,532,88,554,56,444,137,hugh-carthy,https://www.procyclingstats.com/rider/hugh-carthy
66,alberto  bettiol ,ef education-easypost,ef-education-easypost-2023,1993-10-29,italy,1.8,69.0,poggibonsi,1830,626,782,236,1803,88,99,4,90,111,575,78,281,196,409,82,679,78,alberto-bettiol,https://www.procyclingstats.com/rider/alberto-bettiol
67,andrey  amador ,ef education-easypost,ef-education-easypost-2023,1986-08-29,costa rica,1.81,73.0,san josé,651,1464,1218,278,1391,786,1204,2,9,543,41,821,82,511,50,523,207,309,andrey-amador,https://www.procyclingstats.com/rider/andrey-amador
68,neilson  powless ,ef education-easypost,ef-education-easypost-2023,1996-09-03,united states,1.83,67.0,eglin,927,1324,688,220,1444,25,33,4,264,11,897,41,626,69,202,166,203,316,neilson-powless,https://www.procyclingstats.com/rider/neilson-powless
69,merhawi  kudus ,ef education-easypost,ef-education-easypost-2023,1994-01-23,eritrea,1.73,58.0,asmara,411,1375,204,206,1200,514,443,6,11,478,87,519,258,209,86,356,448,136,merhawi-kudus,https://www.procyclingstats.com/rider/merhawi-kudus
70,odd christian  eiking ,ef education-easypost,ef-education-easypost-2023,1994-12-28,norway,1.82,75.0,stord,659,982,39,175,1258,345,291,3,31,258,131,375,445,115,24,818,375,169,odd-christian-eiking,https://www.procyclingstats.com/rider/odd-christian-eiking
71,mikkel frølich  honoré ,ef education-easypost,ef-education-easypost-2023,1997-01-21,denmark,1.85,68.0,fredericia,832,420,113,83,989,225,165,2,28,273,262,231,847,38,164,209,93,637,mikkel-honore,https://www.procyclingstats.com/rider/mikkel-honore
72,owain  doull ,ef education-easypost,ef-education-easypost-2023,1993-05-02,great britain,1.81,71.0,cardiff,507,415,261,475,271,497,703,2,34,242,83,538,72,552,114,296,275,231,owain-doull,https://www.procyclingstats.com/rider/owain-doull
73,mark  padun ,ef education-easypost,ef-education-easypost-2023,1996-07-06,ukraine,1.82,67.0,donetsk,146,514,134,84,788,476,644,7,0,0,176,310,279,199,75,403,198,327,mark-padun,https://www.procyclingstats.com/rider/mark-padun
74,stefan  bissegger ,ef education-easypost,ef-education-easypost-2023,1998-09-13,switzerland,1.78,78.0,weinfelden,181,157,1297,112,137,269,226,6,15,432,269,226,449,114,145,235,127,474,stefan-bissegger,https://www.procyclingstats.com/rider/stefan-bissegger
75,łukasz  wiśniowski ,ef education-easypost,ef-education-easypost-2023,1991-12-07,poland,1.91,78.0,ciechanów,550,281,307,316,158,920,2300,0,14,441,20,1163,62,614,42,594,118,515,lukasz-wisniowski,https://www.procyclingstats.com/rider/lukasz-wisniowski
76,jonathan klever  caicedo ,ef education-easypost,ef-education-easypost-2023,1993-04-28,ecuador,1.64,62.0,santa martha de cuba,183,341,144,112,262,515,645,5,15,422,90,508,20,1041,190,177,111,543,jonathan-klever-caicedo,https://www.procyclingstats.com/rider/jonathan-klever-caicedo
77,stefan de bod ,ef education-easypost,ef-education-easypost-2023,1996-11-17,south africa,1.82,66.0,worcester,141,388,604,21,234,253,249,2,79,125,196,288,147,349,56,487,122,493,stefan-de-bod,https://www.procyclingstats.com/rider/stefan-de-bod
78,marijn van den berg ,ef education-easypost,ef-education-easypost-2023,1999-07-19,netherlands,1.83,73.0,de meern,357,120,48,243,170,208,192,1,150,57,200,282,112,430,5,1340,61,831,marijn-van-den-berg,https://www.procyclingstats.com/rider/marijn-van-den-berg
79,james  shaw ,ef education-easypost,ef-education-easypost-2023,1996-06-13,great britain,1.79,63.0,nottingham,98,403,72,44,328,372,541,0,13,457,149,345,186,284,19,900,106,570,james-shaw,https://www.procyclingstats.com/rider/james-shaw
80,tom  scully ,ef education-easypost,ef-education-easypost-2023,1990-01-14,new zealand,1.88,85.0,invercargill,188,160,764,199,17,971,2266,2,5,716,30,964,94,474,25,811,107,563,thomas-scully,https://www.procyclingstats.com/rider/thomas-scully
81,andrea  piccolo ,ef education-easypost,ef-education-easypost-2023,2001-03-23,italy,1.82,64.0,magenta,443,25,18,27,268,132,82,0,20,352,419,141,43,744,0,0,0,0,andrea-piccolo,https://www.procyclingstats.com/rider/andrea-piccolo
82,jefferson alexander  cepeda ,ef education-easypost,ef-education-easypost-2023,1998-06-16,ecuador,1.64,56.0,el playón de san francisco,123,238,84,0,229,323,302,1,51,179,129,383,140,355,24,821,59,845,jefferson-alexander-cepeda,https://www.procyclingstats.com/rider/jefferson-alexander-cepeda
83,julius van den berg ,ef education-easypost,ef-education-easypost-2023,1996-10-23,netherlands,1.89,78.0,purmerend,133,151,77,337,30,510,1242,1,11,480,84,531,94,475,30,719,37,1027,julius-van-den-berg,https://www.procyclingstats.com/rider/julius-van-den-berg
84,jonas  rutsch ,ef education-easypost,ef-education-easypost-2023,1998-01-24,germany,1.97,82.0,erbach im odenwald,182,201,128,48,113,436,506,0,21,340,93,487,115,414,32,706,108,561,jonas-rutsch,https://www.procyclingstats.com/rider/jonas-rutsch
85,simon  carr ,ef education-easypost,ef-education-easypost-2023,1998-08-29,great britain,1.82,63.0,hereford,207,114,44,0,243,480,624,1,9,545,92,492,155,335,82,371,5,2091,simon-carr,https://www.procyclingstats.com/rider/simon-carr
86,sean  quinn ,ef education-easypost,ef-education-easypost-2023,2000-05-10,united states,1.86,67.0,los angeles,71,161,49,2,253,353,458,0,52,175,113,422,91,484,0,0,10,1714,sean-quinn,https://www.procyclingstats.com/rider/sean-quinn
87,ben  healy ,ef education-easypost,ef-education-easypost-2023,2000-09-11,ireland,1.75,65.0,kingswinford,82,29,144,20,88,406,310,2,40,216,93,491,8,1487,22,853,5,2028,ben-healy,https://www.procyclingstats.com/rider/ben-healy
88,diego andrés  camargo ,ef education-easypost,ef-education-easypost-2023,1998-05-03,colombia,1.76,65.0,tuta,2,89,80,8,40,866,1429,0,9,544,32,937,37,793,25,809,0,0,diego-andres-camargo,https://www.procyclingstats.com/rider/diego-andres-camargo
89,georg  steinhauser ,ef education-easypost,ef-education-easypost-2023,2001-10-21,germany,1.88,65.0,none,14,55,58,2,50,1004,1272,0,20,343,16,1266,53,667,2,1591,0,0,georg-steinhauser,https://www.procyclingstats.com/rider/georg-steinhauser
90,arnaud  démare ,groupama - fdj,groupama-fdj-2023,1991-08-26,france,1.81,76.0,beauvais,5763,1403,433,7335,1774,11,15,91,7,606,1359,11,908,31,1147,7,843,55,arnaud-demare,https://www.procyclingstats.com/rider/arnaud-demare
91,thibaut  pinot ,groupama - fdj,groupama-fdj-2023,1990-05-29,france,1.8,63.0,lure,1777,6323,1430,170,8000,56,158,33,50,182,736,55,189,280,600,52,959,38,thibaut-pinot,https://www.procyclingstats.com/rider/thibaut-pinot
92,stefan  küng ,groupama - fdj,groupama-fdj-2023,1993-11-16,switzerland,1.93,83.0,wil,1800,1472,4438,402,1157,12,8,26,110,95,1333,12,1072,24,628,49,826,57,stefan-kung,https://www.procyclingstats.com/rider/stefan-kung
93,david  gaudu ,groupama - fdj,groupama-fdj-2023,1996-10-10,france,1.72,53.0,landivisiau,1500,2083,76,19,3409,43,36,9,158,50,853,47,1346,11,562,55,874,50,david-gaudu,https://www.procyclingstats.com/rider/david-gaudu
94,matthieu  ladagnous ,groupama - fdj,groupama-fdj-2023,1984-12-12,france,1.82,73.0,pau,1434,1435,232,1558,503,849,1042,11,0,0,40,846,47,707,40,609,45,944,matthieu-ladagnous,https://www.procyclingstats.com/rider/matthieu-ladagnous
95,rudy  molard ,groupama - fdj,groupama-fdj-2023,1989-09-17,france,1.78,62.0,gleizé,1198,1455,160,397,1978,119,95,2,73,135,389,151,160,330,347,103,397,157,rudy-molard,https://www.procyclingstats.com/rider/rudy-molard
96,valentin  madouas ,groupama - fdj,groupama-fdj-2023,1996-07-12,france,1.79,71.0,brest,1853,924,90,136,1814,27,40,5,193,30,936,38,525,92,364,94,525,112,valentin-madouas,https://www.procyclingstats.com/rider/valentin-madouas
97,ignatas  konovalovas ,groupama - fdj,groupama-fdj-2023,1985-12-08,lithuania,1.9,74.0,panevėžys,695,740,1324,400,180,769,901,12,5,660,47,755,29,904,25,812,25,1224,ignatas-konovalovas,https://www.procyclingstats.com/rider/ignatas-konovalovas
98,quentin  pacher ,groupama - fdj,groupama-fdj-2023,1992-01-06,france,1.79,62.0,libourne,648,812,84,266,1442,166,223,0,23,309,445,128,167,315,188,178,317,198,quentin-pacher,https://www.procyclingstats.com/rider/quentin-pacher
99,michael  storer ,groupama - fdj,groupama-fdj-2023,1997-02-28,australia,1.74,63.0,perth,326,664,89,184,932,184,210,4,61,157,287,212,464,111,162,211,127,473,michael-storer,https://www.procyclingstats.com/rider/michael-storer
100,bram  welten ,groupama - fdj,groupama-fdj-2023,1997-03-29,netherlands,1.88,81.0,tilburg,960,30,0,1008,54,252,261,1,5,674,244,248,367,142,45,574,161,392,bram-welten,https://www.procyclingstats.com/rider/bram-welten
101,olivier le gac ,groupama - fdj,groupama-fdj-2023,1993-08-27,france,1.8,70.0,brest,555,340,4,186,190,400,571,1,17,389,118,415,147,350,77,395,76,738,olivier-le-gac,https://www.procyclingstats.com/rider/olivier-le-gac
102,jake  stewart ,groupama - fdj,groupama-fdj-2023,1999-10-02,great britain,1.79,66.0,coventry,386,334,28,175,329,149,171,1,18,371,379,156,282,195,120,288,29,1133,jake-stewart,https://www.procyclingstats.com/rider/jake-stewart
103,fabian  lienhard ,groupama - fdj,groupama-fdj-2023,1993-09-03,switzerland,1.83,73.0,steinmaur,628,108,27,451,241,455,695,0,10,525,107,438,66,597,80,384,166,378,fabian-lienhard,https://www.procyclingstats.com/rider/fabian-lienhard
104,kevin  geniets ,groupama - fdj,groupama-fdj-2023,1997-01-09,luxembourg,1.93,73.0,esch-sur-alzette,360,261,214,62,276,241,278,3,54,172,229,258,188,281,79,390,131,465,kevin-geniets,https://www.procyclingstats.com/rider/kevin-geniets
105,bruno  armirail ,groupama - fdj,groupama-fdj-2023,1994-04-11,france,1.9,74.0,bagnères-de-bigorre,114,336,722,8,232,279,273,1,0,0,210,270,170,310,121,287,67,793,bruno-armirail,https://www.procyclingstats.com/rider/bruno-armirail
106,miles  scotson ,groupama - fdj,groupama-fdj-2023,1994-01-18,australia,1.91,76.0,adelaide,135,231,701,27,103,627,1522,2,5,655,67,607,135,366,61,460,91,646,miles-scotson,https://www.procyclingstats.com/rider/miles-scotson
107,paul  penhoët ,groupama - fdj,groupama-fdj-2023,2001-12-28,france,1.73,64.0,clamart,115,61,2,216,77,307,256,0,73,134,129,386,65,602,2,1590,0,0,paul-penhoet,https://www.procyclingstats.com/rider/paul-penhoet
108,lewis  askey ,groupama - fdj,groupama-fdj-2023,2001-05-04,great britain,1.87,75.0,cannock,183,28,5,24,73,354,367,0,13,465,155,336,49,693,1,1686,0,0,lewis-askey,https://www.procyclingstats.com/rider/lewis-askey
