,fullname,team,birthdate,country,height,weight,birthplace,one_day_race_pts,gc_pts,tt_pts,sprint_pts,climb_pts,pcs_ranking,uci_ranking,number_wins,pts_pcs_2023,rank_pcs_2023,pts_pcs_2022,rank_pcs_2022,pts_pcs_2021,rank_pcs_2021,pts_pcs_2020,rank_pcs_2020,pts_pcs_2019,rank_pcs_2019,rider_code,rider_url
15,Giovanni  Aleotti ,BORA - hansgrohe,25/05/1999,Italy,1.8,67,Mirandola,288,457,73,10,424,204,206,5,47,186,269,224,408,126,13,1058,98,611,giovanni-aleotti,https://www.procyclingstats.com/rider/giovanni-aleotti
16,Nico  Denz ,BORA - hansgrohe,15/02/1994,Germany,1.83,71,Waldshut-Tiengen,375,277,166,184,310,535,762,3,0,0,90,509,75,541,173,193,117,516,nico-denz,https://www.procyclingstats.com/rider/nico-denz
17,Ryan  Mullen ,BORA - hansgrohe,07/08/1994,Ireland,1.89,77,Birkenhead,241,169,1079,34,46,479,991,9,6,648,101,459,65,599,23,835,82,701,ryan-mullen,https://www.procyclingstats.com/rider/ryan-mullen
18,Matteo  Fabbro ,BORA - hansgrohe,10/04/1995,Italy,1.67,52,Udine,160,555,74,77,526,640,953,0,3,791,61,643,254,215,133,255,150,416,matteo-fabbro,https://www.procyclingstats.com/rider/matteo-fabbro
19,Ide  Schelling ,BORA - hansgrohe,06/02/1998,Netherlands,1.82,66,The Hague,425,250,110,50,374,437,576,1,78,128,41,826,488,104,90,342,41,982,ide-schelling,https://www.procyclingstats.com/rider/ide-schelling
20,Shane  Archbold ,BORA - hansgrohe,02/02/1989,New Zealand,1.82,79,Timaru,296,141,63,594,188,1288,3197,2,11,487,10,1450,46,718,101,318,94,633,shane-archbold,https://www.procyclingstats.com/rider/shane-archbold
21,Matthew  Walls ,BORA - hansgrohe,20/04/1998,Great Britain,1.77,72,Manchester,195,23,43,401,35,1173,2237,2,10,506,11,1436,192,277,0,0,97,617,matthew-walls,https://www.procyclingstats.com/rider/matthew-walls
22,Ben  Zwiehoff ,BORA - hansgrohe,22/02/1994,Germany,1.82,61,Essen,83,195,3,3,117,308,445,0,132,74,92,499,58,631,0,0,0,0,ben-zwiehoff,https://www.procyclingstats.com/rider/ben-zwiehoff
23,Cian  Uijtdebroeks ,BORA - hansgrohe,28/02/2003,Belgium,1.85,68,None,41,186,44,0,228,244,204,0,65,150,195,289,0,0,0,0,0,0,cian-uijtdebroeks,https://www.procyclingstats.com/rider/cian-uijtdebroeks
24,Patrick  Gamper ,BORA - hansgrohe,18/02/1997,Austria,1.94,86,Wien,132,45,112,93,32,679,731,0,6,647,64,629,75,542,18,914,78,723,patrick-gamper,https://www.procyclingstats.com/rider/patrick-gamper
25,Frederik  Wandahl ,BORA - hansgrohe,09/05/2001,Denmark,1.78,61,Stockholm,80,89,1,6,73,376,477,0,33,251,121,400,20,1043,0,0,0,0,frederik-wandahl,https://www.procyclingstats.com/rider/frederik-wandahl
26,Victor  Koretzky ,BORA - hansgrohe,26/08/1994,France,1.8,69,Béziers,25,33,0,2,54,643,979,0,0,0,64,627,0,0,0,0,0,0,victor-koretzky,https://www.procyclingstats.com/rider/victor-koretzky
27,Anton  Palzer ,BORA - hansgrohe,11/03/1993,Germany,1.78,62,Berchtesgaden,0,45,0,0,1,1231,1474,0,0,0,20,1159,25,958,0,0,0,0,anton-palzer,https://www.procyclingstats.com/rider/anton-palzer
28,Florian  Lipowitz ,BORA - hansgrohe,21/09/2000,Germany,1.81,68,None,0,30,0,3,31,2315,2325,0,0,0,1,2199,30,877,2,1576,0,0,florian-lipowitz,https://www.procyclingstats.com/rider/florian-lipowitz
29,Luis-Joe  Lührs ,BORA - hansgrohe,20/01/2003,Germany,1.79,66,München,16,5,20,4,3,1818,2198,0,5,743,17,1245,0,0,0,0,0,0,luis-joe-luhrs,https://www.procyclingstats.com/rider/luis-joe-luhrs
30,Ion  Izagirre ,Cofidis,04/02/1989,Spain,1.73,60,Ormaiztegi,1315,5024,2913,170,4892,97,83,16,7,608,544,93,792,47,329,108,933,41,ion-izagirre,https://www.procyclingstats.com/rider/ion-izagirre
31,Bryan  Coquard ,Cofidis,25/04/1992,France,1.71,59,Saint-Nazaire,2659,1092,289,5029,1324,77,91,49,142,66,578,77,480,105,322,113,823,58,bryan-coquard,https://www.procyclingstats.com/rider/bryan-coquard
32,Guillaume  Martin ,Cofidis,09/06/1993,France,1.73,55,Paris,1640,2934,6,73,3782,49,58,9,47,189,1005,28,875,36,1165,6,1009,32,guillaume-martin,https://www.procyclingstats.com/rider/guillaume-martin
33,Jesús  Herrada ,Cofidis,26/07/1990,Spain,1.83,70,Mota del Cuervo,1691,2137,856,486,2640,62,60,19,182,35,589,75,522,94,361,96,831,56,jesus-herrada-lopez,https://www.procyclingstats.com/rider/jesus-herrada-lopez
34,Simon  Geschke ,Cofidis,13/03/1986,Germany,1.71,64,Berlin,1529,1352,658,634,2174,176,120,3,23,314,348,174,129,381,484,66,148,426,simon-geschke,https://www.procyclingstats.com/rider/simon-geschke
35,Davide  Cimolai ,Cofidis,13/08/1989,Italy,1.82,70,Pordenone,968,525,6,1319,1112,500,0,9,5,672,92,497,224,236,101,319,577,97,davide-cimolai,https://www.procyclingstats.com/rider/davide-cimolai
36,Max  Walscheid ,Cofidis,13/06/1993,Germany,1.99,90,Neuwied,1263,221,670,2069,236,107,73,12,50,180,462,123,388,133,247,139,459,134,max-walscheid,https://www.procyclingstats.com/rider/max-walscheid
37,Simone  Consonni ,Cofidis,12/09/1994,Italy,1.65,60,Ponte San Pietro,1350,273,25,1142,850,79,76,3,45,194,617,70,278,201,180,185,382,166,simone-consonni,https://www.procyclingstats.com/rider/simone-consonni
38,José  Herrada ,Cofidis,01/10/1985,Spain,1.75,65,Mota del Cuervo,565,1089,326,311,1050,789,1158,2,0,0,53,708,42,757,67,439,152,412,jose-herrada,https://www.procyclingstats.com/rider/jose-herrada
39,Jelle  Wallays ,Cofidis,11/05/1989,Belgium,1.85,77,Roeselare,1147,577,157,1008,118,1390,2268,8,5,669,8,1582,59,622,18,917,167,375,jelle-wallays,https://www.procyclingstats.com/rider/jelle-wallays
40,Rubén  Fernández ,Cofidis,01/03/1991,Spain,1.77,60,Murcia,234,1317,135,138,856,386,439,0,24,296,157,334,208,253,137,250,77,733,ruben-fernandez,https://www.procyclingstats.com/rider/ruben-fernandez
41,Pierre-Luc  Périchon ,Cofidis,04/01/1987,France,1.82,69,Bourg-en-Bresse,711,648,194,386,480,540,1050,2,24,301,65,621,280,198,67,437,155,408,pierre-luc-perichon,https://www.procyclingstats.com/rider/pierre-luc-perichon
42,Benjamin  Thomas ,Cofidis,12/09/1995,France,1.79,68,Lavaur,258,786,923,196,679,78,87,8,16,396,736,56,121,398,62,454,88,663,benjamin-thomas-2,https://www.procyclingstats.com/rider/benjamin-thomas-2
43,Piet  Allegaert ,Cofidis,20/01/1995,Belgium,1.81,70,Moorslede,1146,96,140,730,318,103,103,1,106,99,426,139,415,124,112,299,243,266,piet-allegaert,https://www.procyclingstats.com/rider/piet-allegaert
44,Jonathan  Lastra ,Cofidis,03/06/1993,Spain,1.72,64,Bilbao,354,673,11,118,850,235,269,0,5,728,281,215,333,157,32,694,242,267,jonathan-lastra,https://www.procyclingstats.com/rider/jonathan-lastra
45,Anthony  Perez ,Cofidis,22/04/1991,France,1.9,70,Toulouse,424,451,223,54,511,189,182,5,165,46,176,309,139,356,49,535,174,362,anthony-perez,https://www.procyclingstats.com/rider/anthony-perez
46,Wesley  Kreder ,Cofidis,04/11/1990,Netherlands,1.83,71,Leiden,725,124,30,702,13,745,2977,2,0,0,50,720,67,591,1,1661,19,1350,wesley-kreder,https://www.procyclingstats.com/rider/wesley-kreder
47,Axel  Zingle ,Cofidis,18/12/1998,France,1.73,67,Mulhouse,673,112,73,150,336,58,50,3,126,78,615,71,128,384,16,969,0,0,axel-zingle,https://www.procyclingstats.com/rider/axel-zingle
48,Christophe  Noppe ,Cofidis,29/11/1994,Belgium,1.76,73,Oudenaarde,748,13,54,784,59,491,497,0,10,507,89,514,137,361,45,568,285,221,christophe-noppe,https://www.procyclingstats.com/rider/christophe-noppe
49,Victor  Lafay ,Cofidis,17/01/1996,France,1.77,65,Lyon,229,335,13,16,538,198,185,2,73,136,299,202,295,180,45,570,0,0,victor-lafay,https://www.procyclingstats.com/rider/victor-lafay
50,Rémy  Rochas ,Cofidis,18/05/1996,France,1.64,51,La Motte-Servolex,179,361,65,26,344,341,376,0,5,692,168,317,248,223,58,474,39,1010,remy-rochas,https://www.procyclingstats.com/rider/remy-rochas
51,François  Bidard ,Cofidis,19/03/1992,France,1.8,65,Lonlay-l'Abbaye,95,290,6,30,332,1269,1798,0,5,748,11,1430,12,1305,27,760,172,366,francois-bidard,https://www.procyclingstats.com/rider/francois-bidard
52,Alexis  Renard ,Cofidis,01/06/1999,France,1.86,75,Saint-Brieuc,128,157,11,188,43,696,940,0,10,528,64,625,250,221,28,750,0,0,alexis-renard,https://www.procyclingstats.com/rider/alexis-renard
53,Alexandre  Delettre ,Cofidis,25/10/1997,France,1.7,62,Gonesse,125,56,0,1,83,774,1075,0,0,0,47,757,111,431,0,0,35,1049,alexandre-delettre,https://www.procyclingstats.com/rider/alexandre-delettre
54,Eddy  Finé ,Cofidis,20/11/1997,France,1.8,70,Herbeys,86,45,0,8,76,568,690,0,8,558,75,572,35,808,9,1170,15,1481,eddy-fine,https://www.procyclingstats.com/rider/eddy-fine
55,Andre  Carvalho ,Cofidis,31/10/1997,Portugal,1.81,66,Vila Nova de Famalicão,96,8,0,30,21,968,2794,0,10,541,20,1156,28,918,14,1038,36,1038,andre-carvalho,https://www.procyclingstats.com/rider/andre-carvalho
56,Thomas  Champion ,Cofidis,08/09/1999,France,1.93,70,Saint-Sébastien-sur-Loire,20,58,16,0,27,914,2263,0,0,0,35,895,30,872,17,950,0,0,thomas-champion,https://www.procyclingstats.com/rider/thomas-champion
57,Axel  Mariault ,Cofidis,07/06/1998,France,1.69,58,Liffré,24,30,0,2,80,624,859,0,7,586,62,639,1,2102,0,0,0,0,axel-mariault,https://www.procyclingstats.com/rider/axel-mariault
58,Hugo  Toumire ,Cofidis,05/10/2001,France,1.8,69,Rouen,12,39,0,4,29,1255,1518,0,0,0,31,943,20,1050,0,0,0,0,hugo-toumire,https://www.procyclingstats.com/rider/hugo-toumire
59,Harrison  Wood ,Cofidis,14/06/2000,Great Britain,1.85,64,None,5,5,5,4,7,1526,0,0,10,529,0,0,0,0,0,0,0,0,harrison-wood,https://www.procyclingstats.com/rider/harrison-wood
60,Rigoberto  Urán ,EF Education-EasyPost,26/01/1987,Colombia,1.73,63,Urrao,3076,5587,1757,760,7641,75,90,15,0,0,612,72,700,56,352,100,525,113,rigoberto-uran,https://www.procyclingstats.com/rider/rigoberto-uran
61,Richard  Carapaz ,EF Education-EasyPost,29/05/1993,Ecuador,1.7,62,El Carmelo,781,3152,439,101,4140,20,18,18,15,425,1204,21,1306,15,1113,11,986,34,richard-carapaz,https://www.procyclingstats.com/rider/richard-carapaz
62,Esteban  Chaves ,EF Education-EasyPost,17/01/1990,Colombia,1.64,55,Bogota,1155,3071,225,164,4183,120,93,17,27,275,444,129,701,55,368,91,350,187,johan-esteban-chaves,https://www.procyclingstats.com/rider/johan-esteban-chaves
63,Magnus  Cort ,EF Education-EasyPost,16/01/1993,Denmark,1.83,68,Rønne,990,904,696,1776,1822,89,136,25,128,77,440,132,625,70,216,154,203,317,magnus-cort-nielsen,https://www.procyclingstats.com/rider/magnus-cort-nielsen
64,Jens  Keukeleire ,EF Education-EasyPost,23/11/1988,Belgium,1.85,69,Brugge,2001,1129,163,1462,951,688,1557,11,20,355,43,805,55,650,158,216,528,111,jens-keukeleire,https://www.procyclingstats.com/rider/jens-keukeleire
65,Hugh  Carthy ,EF Education-EasyPost,09/07/1994,Great Britain,1.93,69,Preston,265,2227,388,31,2264,104,146,7,37,227,463,121,532,88,554,56,444,137,hugh-carthy,https://www.procyclingstats.com/rider/hugh-carthy
66,Alberto  Bettiol ,EF Education-EasyPost,29/10/1993,Italy,1.8,69,Poggibonsi,1830,626,782,236,1803,88,99,4,90,111,575,78,281,196,409,82,679,78,alberto-bettiol,https://www.procyclingstats.com/rider/alberto-bettiol
67,Andrey  Amador ,EF Education-EasyPost,29/08/1986,Costa Rica,1.81,73,San José,651,1464,1218,278,1391,786,1204,2,9,543,41,821,82,511,50,523,207,309,andrey-amador,https://www.procyclingstats.com/rider/andrey-amador
68,Neilson  Powless ,EF Education-EasyPost,03/09/1996,United States,1.83,67,Eglin,927,1324,688,220,1444,25,33,4,264,11,897,41,626,69,202,166,203,316,neilson-powless,https://www.procyclingstats.com/rider/neilson-powless
69,Merhawi  Kudus ,EF Education-EasyPost,23/01/1994,Eritrea,1.73,58,Asmara,411,1375,204,206,1200,514,443,6,11,478,87,519,258,209,86,356,448,136,merhawi-kudus,https://www.procyclingstats.com/rider/merhawi-kudus
70,Odd Christian  Eiking ,EF Education-EasyPost,28/12/1994,Norway,1.82,75,Stord,659,982,39,175,1258,345,291,3,31,258,131,375,445,115,24,818,375,169,odd-christian-eiking,https://www.procyclingstats.com/rider/odd-christian-eiking
71,Mikkel Frølich  Honoré ,EF Education-EasyPost,21/01/1997,Denmark,1.85,68,Fredericia,832,420,113,83,989,225,165,2,28,273,262,231,847,38,164,209,93,637,mikkel-honore,https://www.procyclingstats.com/rider/mikkel-honore
72,Owain  Doull ,EF Education-EasyPost,02/05/1993,Great Britain,1.81,71,Cardiff,507,415,261,475,271,497,703,2,34,242,83,538,72,552,114,296,275,231,owain-doull,https://www.procyclingstats.com/rider/owain-doull
73,Mark  Padun ,EF Education-EasyPost,06/07/1996,Ukraine,1.82,67,Donetsk,146,514,134,84,788,476,644,7,0,0,176,310,279,199,75,403,198,327,mark-padun,https://www.procyclingstats.com/rider/mark-padun
74,Stefan  Bissegger ,EF Education-EasyPost,13/09/1998,Switzerland,1.78,78,Weinfelden,181,157,1297,112,137,269,226,6,15,432,269,226,449,114,145,235,127,474,stefan-bissegger,https://www.procyclingstats.com/rider/stefan-bissegger
75,Łukasz  Wiśniowski ,EF Education-EasyPost,07/12/1991,Poland,1.91,78,Ciechanów,550,281,307,316,158,920,2300,0,14,441,20,1163,62,614,42,594,118,515,lukasz-wisniowski,https://www.procyclingstats.com/rider/lukasz-wisniowski
76,Jonathan Klever  Caicedo ,EF Education-EasyPost,28/04/1993,Ecuador,1.64,62,Santa Martha de Cuba,183,341,144,112,262,515,645,5,15,422,90,508,20,1041,190,177,111,543,jonathan-klever-caicedo,https://www.procyclingstats.com/rider/jonathan-klever-caicedo
77,Stefan de Bod ,EF Education-EasyPost,17/11/1996,South Africa,1.82,66,Worcester,141,388,604,21,234,253,249,2,79,125,196,288,147,349,56,487,122,493,stefan-de-bod,https://www.procyclingstats.com/rider/stefan-de-bod
78,Marijn van den Berg ,EF Education-EasyPost,19/07/1999,Netherlands,1.83,73,De Meern,357,120,48,243,170,208,192,1,150,57,200,282,112,430,5,1340,61,831,marijn-van-den-berg,https://www.procyclingstats.com/rider/marijn-van-den-berg
79,James  Shaw ,EF Education-EasyPost,13/06/1996,Great Britain,1.79,63,Nottingham,98,403,72,44,328,372,541,0,13,457,149,345,186,284,19,900,106,570,james-shaw,https://www.procyclingstats.com/rider/james-shaw
80,Tom  Scully ,EF Education-EasyPost,14/01/1990,New Zealand,1.88,85,Invercargill,188,160,764,199,17,971,2266,2,5,716,30,964,94,474,25,811,107,563,thomas-scully,https://www.procyclingstats.com/rider/thomas-scully
81,Andrea  Piccolo ,EF Education-EasyPost,23/03/2001,Italy,1.82,64,Magenta,443,25,18,27,268,132,82,0,20,352,419,141,43,744,0,0,0,0,andrea-piccolo,https://www.procyclingstats.com/rider/andrea-piccolo
82,Jefferson Alexander  Cepeda ,EF Education-EasyPost,16/06/1998,Ecuador,1.64,56,El Playón de San Francisco,123,238,84,0,229,323,302,1,51,179,129,383,140,355,24,821,59,845,jefferson-alexander-cepeda,https://www.procyclingstats.com/rider/jefferson-alexander-cepeda
83,Julius van den Berg ,EF Education-EasyPost,23/10/1996,Netherlands,1.89,78,Purmerend,133,151,77,337,30,510,1242,1,11,480,84,531,94,475,30,719,37,1027,julius-van-den-berg,https://www.procyclingstats.com/rider/julius-van-den-berg
84,Jonas  Rutsch ,EF Education-EasyPost,24/01/1998,Germany,1.97,82,Erbach im Odenwald,182,201,128,48,113,436,506,0,21,340,93,487,115,414,32,706,108,561,jonas-rutsch,https://www.procyclingstats.com/rider/jonas-rutsch
85,Simon  Carr ,EF Education-EasyPost,29/08/1998,Great Britain,1.82,63,Hereford,207,114,44,0,243,480,624,1,9,545,92,492,155,335,82,371,5,2091,simon-carr,https://www.procyclingstats.com/rider/simon-carr
86,Sean  Quinn ,EF Education-EasyPost,10/05/2000,United States,1.86,67,Los Angeles,71,161,49,2,253,353,458,0,52,175,113,422,91,484,0,0,10,1714,sean-quinn,https://www.procyclingstats.com/rider/sean-quinn
87,Ben  Healy ,EF Education-EasyPost,11/09/2000,Ireland,1.75,65,Kingswinford,82,29,144,20,88,406,310,2,40,216,93,491,8,1487,22,853,5,2028,ben-healy,https://www.procyclingstats.com/rider/ben-healy
88,Diego Andrés  Camargo ,EF Education-EasyPost,03/05/1998,Colombia,1.76,65,Tuta,2,89,80,8,40,866,1429,0,9,544,32,937,37,793,25,809,0,0,diego-andres-camargo,https://www.procyclingstats.com/rider/diego-andres-camargo
89,Georg  Steinhauser ,EF Education-EasyPost,21/10/2001,Germany,1.88,65,None,14,55,58,2,50,1004,1272,0,20,343,16,1266,53,667,2,1591,0,0,georg-steinhauser,https://www.procyclingstats.com/rider/georg-steinhauser
90,Arnaud  Démare ,Groupama - FDJ,26/08/1991,France,1.81,76,Beauvais,5763,1403,433,7335,1774,11,15,91,7,606,1359,11,908,31,1147,7,843,55,arnaud-demare,https://www.procyclingstats.com/rider/arnaud-demare
91,Thibaut  Pinot ,Groupama - FDJ,29/05/1990,France,1.8,63,Lure,1777,6323,1430,170,8000,56,158,33,50,182,736,55,189,280,600,52,959,38,thibaut-pinot,https://www.procyclingstats.com/rider/thibaut-pinot
92,Stefan  Küng ,Groupama - FDJ,16/11/1993,Switzerland,1.93,83,Wil,1800,1472,4438,402,1157,12,8,26,110,95,1333,12,1072,24,628,49,826,57,stefan-kung,https://www.procyclingstats.com/rider/stefan-kung
93,David  Gaudu ,Groupama - FDJ,10/10/1996,France,1.72,53,Landivisiau,1500,2083,76,19,3409,43,36,9,158,50,853,47,1346,11,562,55,874,50,david-gaudu,https://www.procyclingstats.com/rider/david-gaudu
94,Matthieu  Ladagnous ,Groupama - FDJ,12/12/1984,France,1.82,73,Pau,1434,1435,232,1558,503,849,1042,11,0,0,40,846,47,707,40,609,45,944,matthieu-ladagnous,https://www.procyclingstats.com/rider/matthieu-ladagnous
95,Rudy  Molard ,Groupama - FDJ,17/09/1989,France,1.78,62,Gleizé,1198,1455,160,397,1978,119,95,2,73,135,389,151,160,330,347,103,397,157,rudy-molard,https://www.procyclingstats.com/rider/rudy-molard
96,Valentin  Madouas ,Groupama - FDJ,12/07/1996,France,1.79,71,Brest,1853,924,90,136,1814,27,40,5,193,30,936,38,525,92,364,94,525,112,valentin-madouas,https://www.procyclingstats.com/rider/valentin-madouas
97,Ignatas  Konovalovas ,Groupama - FDJ,08/12/1985,Lithuania,1.9,74,Panevėžys,695,740,1324,400,180,769,901,12,5,660,47,755,29,904,25,812,25,1224,ignatas-konovalovas,https://www.procyclingstats.com/rider/ignatas-konovalovas
98,Quentin  Pacher ,Groupama - FDJ,06/01/1992,France,1.79,62,Libourne,648,812,84,266,1442,166,223,0,23,309,445,128,167,315,188,178,317,198,quentin-pacher,https://www.procyclingstats.com/rider/quentin-pacher
99,Michael  Storer ,Groupama - FDJ,28/02/1997,Australia,1.74,63,Perth,326,664,89,184,932,184,210,4,61,157,287,212,464,111,162,211,127,473,michael-storer,https://www.procyclingstats.com/rider/michael-storer
100,Bram  Welten ,Groupama - FDJ,29/03/1997,Netherlands,1.88,81,Tilburg,960,30,0,1008,54,252,261,1,5,674,244,248,367,142,45,574,161,392,bram-welten,https://www.procyclingstats.com/rider/bram-welten
101,Olivier Le Gac ,Groupama - FDJ,27/08/1993,France,1.8,70,Brest,555,340,4,186,190,400,571,1,17,389,118,415,147,350,77,395,76,738,olivier-le-gac,https://www.procyclingstats.com/rider/olivier-le-gac
102,Jake  Stewart ,Groupama - FDJ,02/10/1999,Great Britain,1.79,66,Coventry,386,334,28,175,329,149,171,1,18,371,379,156,282,195,120,288,29,1133,jake-stewart,https://www.procyclingstats.com/rider/jake-stewart
103,Fabian  Lienhard ,Groupama - FDJ,03/09/1993,Switzerland,1.83,73,Steinmaur,628,108,27,451,241,455,695,0,10,525,107,438,66,597,80,384,166,378,fabian-lienhard,https://www.procyclingstats.com/rider/fabian-lienhard
104,Kevin  Geniets ,Groupama - FDJ,09/01/1997,Luxembourg,1.93,73,Esch-sur-Alzette,360,261,214,62,276,241,278,3,54,172,229,258,188,281,79,390,131,465,kevin-geniets,https://www.procyclingstats.com/rider/kevin-geniets
105,Bruno  Armirail ,Groupama - FDJ,11/04/1994,France,1.9,74,Bagnères-de-Bigorre,114,336,722,8,232,279,273,1,0,0,210,270,170,310,121,287,67,793,bruno-armirail,https://www.procyclingstats.com/rider/bruno-armirail
106,Miles  Scotson ,Groupama - FDJ,18/01/1994,Australia,1.91,76,Adelaide,135,231,701,27,103,627,1522,2,5,655,67,607,135,366,61,460,91,646,miles-scotson,https://www.procyclingstats.com/rider/miles-scotson
107,Paul  Penhoët ,Groupama - FDJ,28/12/2001,France,1.73,64,Clamart,115,61,2,216,77,307,256,0,73,134,129,386,65,602,2,1590,0,0,paul-penhoet,https://www.procyclingstats.com/rider/paul-penhoet
108,Lewis  Askey ,Groupama - FDJ,04/05/2001,Great Britain,1.87,75,Cannock,183,28,5,24,73,354,367,0,13,465,155,336,49,693,1,1686,0,0,lewis-askey,https://www.procyclingstats.com/rider/lewis-askey
109,Romain  Grégoire ,Groupama - FDJ,21/01/2003,France,1.76,64,Besançon,196,22,2,0,204,264,248,0,139,69,97,471,0,0,0,0,0,0,romain-gregoire1,https://www.procyclingstats.com/rider/romain-gregoire1
110,Laurence  Pithie ,Groupama - FDJ,17/07/2002,New Zealand,1.85,74,Christchurch,94,53,22,153,50,865,538,0,10,497,72,589,86,496,0,0,0,0,laurence-pithie,https://www.procyclingstats.com/rider/laurence-pithie
111,Reuben  Thompson ,Groupama - FDJ,15/02/2001,New Zealand,1.83,63,Queenstown,10,139,2,2,108,453,345,0,23,321,84,528,52,670,0,0,0,0,reuben-thompson,https://www.procyclingstats.com/rider/reuben-thompson
112,Samuel  Watson ,Groupama - FDJ,24/09/2001,Great Britain,1.86,68,Leeds,100,4,26,80,98,403,263,0,21,341,110,430,19,1087,0,0,0,0,samuel-watson,https://www.procyclingstats.com/rider/samuel-watson
113,Lenny  Martinez ,Groupama - FDJ,11/07/2003,France,1.68,52,Cannes,52,66,0,0,112,385,407,0,27,276,109,431,0,0,0,0,0,0,lenny-martinez,https://www.procyclingstats.com/rider/lenny-martinez
114,Lars van den Berg ,Groupama - FDJ,07/07/1998,Netherlands,1.85,72,De Meern,57,50,30,22,96,1507,2253,0,0,0,10,1457,72,558,7,1240,6,1986,lars-van-den-berg,https://www.procyclingstats.com/rider/lars-van-den-berg
115,Clément  Davy ,Groupama - FDJ,17/07/1998,France,1.83,73,Fougères,25,35,129,1,10,810,2247,0,5,673,44,794,15,1203,0,0,8,1801,clement-davy,https://www.procyclingstats.com/rider/clement-davy
116,Enzo  Paleni ,Groupama - FDJ,30/05/2002,France,1.8,65,Aix-en-Provence,17,39,39,8,21,693,648,0,16,404,41,818,6,1635,0,0,0,0,enzo-paleni,https://www.procyclingstats.com/rider/enzo-paleni
