0,fullname,team,team_code,country,height,weight,birthplace,rider_code,age,nb_race_flat,nb_win_flat,nb_pod_flat,nb_top10_flat,pts_flat,avg_rnk_flat,pct_win_flat,pct_pod_flat,pct_top10_flat,avg_pts_flat,nb_race_climb,nb_win_climb,nb_pod_climb,nb_top10_climb,pts_climb,avg_rnk_climb,pct_win_climb,pct_pod_climb,pct_top10_climb,avg_pts_climb,nb_race_time_trial,nb_win_time_trial,nb_pod_time_trial,nb_top10_time_trial,pts_time_trial,avg_rnk_time_trial,pct_win_time_trial,pct_pod_time_trial,pct_top10_time_trial,avg_pts_time_trial,nb_gc_finished,nb_win_gc,nb_pod_gc,nb_top10_gc,pts_gc,pct_win_gc,pct_pod_gc,pct_top10_gc,avg_pts_gc,nb_race_one_day,nb_win_one_day,nb_pod_one_day,nb_top10_one_day,pts_one_day,avg_rnk_one_day,pct_win_one_day,pct_pod_one_day,pct_top10_one_day,avg_pts_one_day,nb_dnf_otl,pct_dnf_otl,group
11,marco  haller ,bora - hansgrohe,bora-hansgrohe-2023,austria,1.78,72,sankt veit an der glan,marco-haller,31,72,1,1,2,371,83.26984127,0.013888889,0.013888889,0.027777778,5.152777778,134,0,0,4,284,95.83064516,0,0,0.029850746,2.119402985,13,0,0,0,0,122.3076923,0,0,0,0,12,0,0,0,155,0,0,0,12.91666667,60,1,1,5,643,47.58139535,0.016666667,0.016666667,0.083333333,10.71666667,17,0.077625571,peloton-guy
12,lennard  kämna ,bora - hansgrohe,bora-hansgrohe-2023,germany,1.81,65,wedel,lennard-kamna,26,32,0,0,0,5,89.93333333,0,0,0,0.15625,98,3,4,16,616,63.82954545,0.030612245,0.040816327,0.163265306,6.285714286,10,0,0,1,13,26.6,0,0,0.1,1.3,9,0,0,0,210,0,0,0,23.33333333,23,0,0,2,131,51.28571429,0,0,0.086956522,5.695652174,10,0.071428571,peloton-guy
13,jordi  meeus ,bora - hansgrohe,bora-hansgrohe-2023,belgium,1.9,80,lommel,jordi-meeus,24,38,0,5,12,548,49.34285714,0,0.131578947,0.315789474,14.42105263,63,2,6,8,384,106.5660377,0.031746032,0.095238095,0.126984127,6.095238095,10,0,0,0,0,103.2222222,0,0,0,0,6,0,0,0,40,0,0,0,6.666666667,39,2,7,12,754,41.23333333,0.051282051,0.179487179,0.307692308,19.33333333,9,0.081081081,peloton-guy
14,cesare  benedetti ,bora - hansgrohe,bora-hansgrohe-2023,poland,1.7,63,rovereto,cesare-benedetti,35,48,0,0,0,0,98.60416667,0,0,0,0,155,1,1,1,225,92.50694444,0.006451613,0.006451613,0.006451613,1.451612903,18,0,0,0,0,104.5555556,0,0,0,0,12,0,0,0,115,0,0,0,9.583333333,60,0,0,0,145,73.41176471,0,0,0,2.416666667,9,0.040723982,peloton-guy
15,jonas  koch ,bora - hansgrohe,bora-hansgrohe-2023,germany,1.87,75,schwäbisch hall,jonas-koch,29,68,0,0,2,148,62.79661017,0,0,0.029411765,2.176470588,93,0,0,6,155,90.84415584,0,0,0.064516129,1.666666667,7,0,0,0,0,133,0,0,0,0,5,0,0,0,75,0,0,0,15,71,0,0,2,219,55.8125,0,0,0.028169014,3.084507042,21,0.125,peloton-guy
16,giovanni  aleotti ,bora - hansgrohe,bora-hansgrohe-2023,italy,1.8,67,mirandola,giovanni-aleotti,23,24,0,0,0,12,76.41666667,0,0,0,0.5,76,0,1,4,218,65.52112676,0,0.013157895,0.052631579,2.868421053,8,0,0,0,0,65.375,0,0,0,0,7,0,0,0,156,0,0,0,22.28571429,34,0,1,2,224,55.31034483,0,0.029411765,0.058823529,6.588235294,5,0.046296296,peloton-guy
17,nico  denz ,bora - hansgrohe,bora-hansgrohe-2023,germany,1.83,71,waldshut-tiengen,nico-denz,29,54,0,0,1,64,83.18604651,0,0,0.018518519,1.185185185,126,1,1,1,134,98.38461538,0.007936508,0.007936508,0.007936508,1.063492063,17,0,0,0,4,77.75,0,0,0,0.235294118,11,0,0,0,112,0,0,0,10.18181818,44,0,0,0,125,76.32,0,0,0,2.840909091,19,0.096446701,peloton-guy
18,ryan  mullen ,bora - hansgrohe,bora-hansgrohe-2023,ireland,1.89,77,birkenhead,ryan-mullen,28,59,0,0,1,69,77.56521739,0,0,0.016949153,1.169491525,68,0,0,2,37,108.6034483,0,0,0.029411765,0.544117647,12,0,0,0,30,47.16666667,0,0,0,2.5,12,0,0,0,60,0,0,0,5,42,0,0,2,103,75.90909091,0,0,0.047619048,2.452380952,22,0.158273381,peloton-guy
19,matteo  fabbro ,bora - hansgrohe,bora-hansgrohe-2023,italy,1.67,52,udine,matteo-fabbro,27,25,0,0,0,2,87.2,0,0,0,0.08,129,0,0,6,125,61.06722689,0,0,0.046511628,0.968992248,13,0,0,0,0,73.07692308,0,0,0,0,11,0,0,1,270,0,0,0.090909091,24.54545455,26,0,0,0,94,52.82352941,0,0,0,3.615384615,9,0.053892216,peloton-guy
20,ide  schelling ,bora - hansgrohe,bora-hansgrohe-2023,netherlands,1.82,66,the hague,ide-schelling,25,34,0,0,0,56,103.5333333,0,0,0,1.647058824,74,1,1,6,347,80.5483871,0.013513514,0.013513514,0.081081081,4.689189189,5,0,0,1,3,111.6,0,0,0.2,0.6,5,0,0,0,50,0,0,0,10,60,1,1,4,389,67.86956522,0.016666667,0.016666667,0.066666667,6.483333333,15,0.131578947,peloton-guy
21,shane  archbold ,bora - hansgrohe,bora-hansgrohe-2023,new zealand,1.82,79,timaru,shane-archbold,34,51,0,0,1,26,83.06521739,0,0,0.019607843,0.509803922,51,0,0,0,5,122.1521739,0,0,0,0.098039216,7,0,0,0,0,119.3333333,0,0,0,0,9,0,0,0,60,0,0,0,6.666666667,27,0,0,1,31,75.88888889,0,0,0.037037037,1.148148148,8,0.073394495,peloton-guy
22,matthew  walls ,bora - hansgrohe,bora-hansgrohe-2023,great britain,1.77,72,manchester,matthew-walls,24,15,1,1,1,164,50.11111111,0.066666667,0.066666667,0.066666667,10.93333333,22,0,0,0,14,119.3076923,0,0,0,0.636363636,3,0,0,0,0,106.6666667,0,0,0,0,1,0,0,0,5,0,0,0,5,26,1,1,1,178,60.61538462,0.038461538,0.038461538,0.038461538,6.846153846,15,0.365853659,rookie
23,ben  zwiehoff ,bora - hansgrohe,bora-hansgrohe-2023,germany,1.82,61,essen,ben-zwiehoff,29,22,0,0,0,5,83.95,0,0,0,0.227272727,67,0,0,5,81,58.21875,0,0,0.074626866,1.208955224,7,0,0,0,0,70.14285714,0,0,0,0,7,0,0,1,158,0,0,0.142857143,22.57142857,22,0,0,3,83,53.41176471,0,0,0.136363636,3.772727273,5,0.052083333,peloton-guy
24,cian  uijtdebroeks ,bora - hansgrohe,bora-hansgrohe-2023,belgium,1.85,68,none,cian-uijtdebroeks,20,1,0,0,0,0,99,0,0,0,0,11,0,0,1,41,34.44444444,0,0,0.090909091,3.727272727,,,,,,,,,,,,,,,,,,,,12,0,0,1,41,40.9,0,0,0.083333333,3.416666667,2,0.166666667,rookie
25,patrick  gamper ,bora - hansgrohe,bora-hansgrohe-2023,austria,1.94,86,wien,patrick-gamper,26,44,0,0,0,23,86.6,0,0,0,0.522727273,76,0,0,0,77,96.04761905,0,0,0,1.013157895,8,0,0,0,0,94.125,0,0,0,0,6,0,0,0,50,0,0,0,8.333333333,50,0,0,0,100,80.54054054,0,0,0,2,14,0.109375,peloton-guy
26,frederik  wandahl ,bora - hansgrohe,bora-hansgrohe-2023,denmark,1.78,61,stockholm,frederik-wandahl,21,7,0,0,1,22,90.28571429,0,0,0.142857143,3.142857143,49,0,0,0,48,85.125,0,0,0,0.979591837,4,0,0,0,0,121,0,0,0,0,3,0,0,0,15,0,0,0,5,30,0,0,1,70,55.08695652,0,0,0.033333333,2.333333333,7,0.116666667,rookie
27,victor  koretzky ,bora - hansgrohe,bora-hansgrohe-2023,france,1.8,69,béziers,victor-koretzky,28,3,0,0,0,5,67.33333333,0,0,0,1.666666667,18,0,0,0,20,60.1875,0,0,0,1.111111111,1,0,0,0,0,91,0,0,0,0,1,0,0,0,5,0,0,0,5,14,0,0,0,25,56.66666667,0,0,0,1.785714286,2,0.090909091,rookie
28,anton  palzer ,bora - hansgrohe,bora-hansgrohe-2023,germany,1.78,62,berchtesgaden,anton-palzer,30,12,0,0,0,0,86.90909091,0,0,0,0,51,0,0,0,0,69.76086957,0,0,0,0,5,0,0,0,0,86.6,0,0,0,0,4,0,0,0,40,0,0,0,10,21,0,0,0,0,61.4375,0,0,0,0,4,0.058823529,rookie
29,florian  lipowitz ,bora - hansgrohe,bora-hansgrohe-2023,germany,1.81,68,none,florian-lipowitz,22,,,,,,,,,,,1,0,0,0,0,46,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,46,0,0,0,0,0,0,rookie
30,luis-joe  lührs ,bora - hansgrohe,bora-hansgrohe-2023,germany,1.79,66,münchen,luis-joe-luhrs,20,10,0,0,0,16,70,0,0,0,1.6,12,0,0,0,0,73.25,0,0,0,0,,,,,,,,,,,1,0,0,0,5,0,0,0,5,17,0,0,0,16,62.9,0,0,0,0.941176471,6,0.272727273,rookie
31,ion  izagirre ,cofidis,cofidis-2023,spain,1.73,60,ormaiztegi,ion-izagirre,34,45,0,0,1,10,91.93181818,0,0,0.022222222,0.222222222,167,4,7,21,655,44.63354037,0.023952096,0.041916168,0.125748503,3.922155689,22,0,1,4,43,34.0952381,0,0.045454545,0.181818182,1.954545455,17,1,3,7,1328,0.058823529,0.176470588,0.411764706,78.11764706,26,0,0,1,176,41.75,0,0,0.038461538,6.769230769,8,0.034188034,climber
32,bryan  coquard ,cofidis,cofidis-2023,france,1.71,59,saint-nazaire,bryan-coquard,30,54,2,5,18,654,32.48076923,0.037037037,0.092592593,0.333333333,12.11111111,87,0,6,13,495,69.30379747,0,0.068965517,0.149425287,5.689655172,7,0,0,0,0,107.2857143,0,0,0,0,6,0,0,1,110,0,0,0.166666667,18.33333333,66,1,6,11,712,36.15517241,0.015151515,0.090909091,0.166666667,10.78787879,9,0.060810811,peloton-guy
33,guillaume  martin ,cofidis,cofidis-2023,france,1.73,55,paris,guillaume-martin,29,48,0,0,0,0,48.45833333,0,0,0,0,181,1,8,40,1426,22.16201117,0.005524862,0.044198895,0.220994475,7.878453039,16,0,0,0,0,60.625,0,0,0,0,15,0,0,6,1453,0,0,0.4,96.86666667,51,1,4,14,988,21.31372549,0.019607843,0.078431373,0.274509804,19.37254902,0,0,climber
34,jesús  herrada ,cofidis,cofidis-2023,spain,1.83,70,mota del cuervo,jesus-herrada-lopez,32,35,0,0,0,0,122.3428571,0,0,0,0,146,4,9,17,1003,55.28571429,0.02739726,0.061643836,0.116438356,6.869863014,11,0,0,0,0,71.27272727,0,0,0,0,10,0,0,0,228,0,0,0,22.8,42,2,4,10,636,34.44736842,0.047619048,0.095238095,0.238095238,15.14285714,4,0.020833333,peloton-guy
35,simon  geschke ,cofidis,cofidis-2023,germany,1.71,64,berlin,simon-geschke,36,39,0,0,0,0,101.5,0,0,0,0,166,0,1,10,418,62.1589404,0,0.006024096,0.060240964,2.518072289,15,0,1,1,30,73.73333333,0,0.066666667,0.066666667,2,14,0,1,1,324,0,0.071428571,0.071428571,23.14285714,58,0,0,4,310,45.0212766,0,0,0.068965517,5.344827586,12,0.054545455,peloton-guy
36,davide  cimolai ,cofidis,cofidis-2023,italy,1.82,70,pordenone,davide-cimolai,33,45,0,2,13,249,64.8,0,0.044444444,0.288888889,5.533333333,111,0,2,8,297,113.1923077,0,0.018018018,0.072072072,2.675675676,15,0,0,0,0,132.0714286,0,0,0,0,9,0,0,0,100,0,0,0,11.11111111,30,0,0,2,187,62.89473684,0,0,0.066666667,6.233333333,11,0.064327485,peloton-guy
37,max  walscheid ,cofidis,cofidis-2023,germany,1.99,90,neuwied,max-walscheid,29,89,1,5,22,948,38.6744186,0.011235955,0.056179775,0.247191011,10.65168539,111,0,1,4,103,113.7169811,0,0.009009009,0.036036036,0.927927928,14,0,0,5,96,27.07142857,0,0,0.357142857,6.857142857,11,0,0,0,115,0,0,0,10.45454545,53,1,4,11,875,38.92,0.018867925,0.075471698,0.20754717,16.50943396,3,0.014018692,peloton-guy
38,simone  consonni ,cofidis,cofidis-2023,italy,1.65,60,ponte san pietro,simone-consonni,28,66,0,3,21,620,37.3015873,0,0.045454545,0.318181818,9.393939394,107,1,3,10,401,98.04040404,0.009345794,0.028037383,0.093457944,3.747663551,13,0,0,0,0,98.69230769,0,0,0,0,8,0,0,0,100,0,0,0,12.5,51,1,2,12,667,33,0.019607843,0.039215686,0.235294118,13.07843137,10,0.053763441,peloton-guy
39,josé  herrada ,cofidis,cofidis-2023,spain,1.75,65,mota del cuervo,jose-herrada,37,23,0,0,0,20,102.4782609,0,0,0,0.869565217,112,0,2,2,97,62.54205607,0,0.017857143,0.017857143,0.866071429,9,0,0,0,0,85.625,0,0,0,0,7,0,0,0,109,0,0,0,15.57142857,37,0,0,0,64,58,0,0,0,1.72972973,4,0.027777778,peloton-guy
40,jelle  wallays ,cofidis,cofidis-2023,belgium,1.85,77,roeselare,jelle-wallays,33,51,1,1,1,130,87.71111111,0.019607843,0.019607843,0.019607843,2.549019608,62,0,0,0,29,105.6909091,0,0,0,0.467741935,6,0,0,0,0,99.33333333,0,0,0,0,4,0,0,0,55,0,0,0,13.75,55,1,1,1,159,70.77272727,0.018181818,0.018181818,0.018181818,2.890909091,10,0.084033613,peloton-guy
41,rubén  fernández ,cofidis,cofidis-2023,spain,1.77,60,murcia,ruben-fernandez,32,30,0,0,0,9,77.3,0,0,0,0.3,113,0,0,2,100,55.39215686,0,0,0.017699115,0.884955752,14,0,0,0,0,75.57142857,0,0,0,0,12,0,0,1,211,0,0,0.083333333,17.58333333,34,0,0,1,99,46.69230769,0,0,0.029411765,2.911764706,10,0.063694268,peloton-guy
42,pierre-luc  périchon ,cofidis,cofidis-2023,france,1.82,69,bourg-en-bresse,pierre-luc-perichon,36,46,0,0,1,33,93.8,0,0,0.02173913,0.717391304,138,0,1,7,250,86.13709677,0,0.007246377,0.050724638,1.811594203,12,0,0,0,0,68.5,0,0,0,0,10,0,0,0,160,0,0,0,16,43,0,1,5,213,59.79310345,0,0.023255814,0.11627907,4.953488372,14,0.071428571,peloton-guy
43,benjamin  thomas ,cofidis,cofidis-2023,france,1.79,68,lavaur,benjamin-thomas-2,27,23,0,0,0,30,82.30434783,0,0,0,1.304347826,81,0,1,8,211,73.32,0,0.012345679,0.098765432,2.604938272,17,0,0,2,43,30.23529412,0,0,0.117647059,2.529411765,10,0,0,0,60,0,0,0,6,19,0,0,2,143,38.82352941,0,0,0.105263158,7.526315789,5,0.041322314,peloton-guy
44,piet  allegaert ,cofidis,cofidis-2023,belgium,1.81,70,moorslede,piet-allegaert,28,72,1,3,18,793,37.84848485,0.013888889,0.041666667,0.25,11.01388889,52,0,0,5,259,70.47826087,0,0,0.096153846,4.980769231,5,0,0,0,0,115.75,0,0,0,0,3,0,0,0,30,0,0,0,10,87,1,3,18,981,34.28,0.011494253,0.034482759,0.206896552,11.27586207,12,0.093023256,peloton-guy
45,jonathan  lastra ,cofidis,cofidis-2023,spain,1.72,64,bilbao,jonathan-lastra,29,19,0,0,0,0,79.22222222,0,0,0,0,84,0,2,4,213,62.2195122,0,0.023809524,0.047619048,2.535714286,6,0,0,0,0,116.8333333,0,0,0,0,5,0,0,0,86,0,0,0,17.2,35,0,1,2,147,51.21212121,0,0.028571429,0.057142857,4.2,3,0.027522936,peloton-guy
46,anthony  perez ,cofidis,cofidis-2023,france,1.9,70,toulouse,anthony-perez,31,37,0,0,0,0,120.1944444,0,0,0,0,116,2,3,5,385,77.85840708,0.017241379,0.025862069,0.043103448,3.318965517,13,0,0,0,0,57.38461538,0,0,0,0,10,0,0,0,125,0,0,0,12.5,39,2,3,5,385,48.72972973,0.051282051,0.076923077,0.128205128,9.871794872,3,0.018072289,peloton-guy
47,wesley  kreder ,cofidis,cofidis-2023,netherlands,1.83,71,leiden,wesley-kreder,32,64,0,0,0,43,76.19298246,0,0,0,0.671875,62,0,0,0,20,113.1666667,0,0,0,0.322580645,8,0,0,0,0,133.375,0,0,0,0,5,0,0,0,70,0,0,0,14,57,0,0,0,63,69.11904762,0,0,0,1.105263158,13,0.097014925,peloton-guy
48,axel  zingle ,cofidis,cofidis-2023,france,1.73,67,mulhouse,axel-zingle,24,15,0,0,4,116,26.78571429,0,0,0.266666667,7.733333333,34,2,5,14,534,30.43333333,0.058823529,0.147058824,0.411764706,15.70588235,,,,,,,,,,,,,,,,,,,,49,2,5,18,650,29.27272727,0.040816327,0.102040816,0.367346939,13.26530612,4,0.081632653,peloton-guy
49,christophe  noppe ,cofidis,cofidis-2023,belgium,1.76,73,oudenaarde,christophe-noppe,28,68,0,1,9,264,56.37735849,0,0.014705882,0.132352941,3.882352941,20,0,0,1,49,56.25,0,0,0.05,2.45,,,,,,,,,,,1,0,0,0,5,0,0,0,5,82,0,1,7,296,60.22033898,0,0.012195122,0.085365854,3.609756098,21,0.235955056,peloton-guy
50,victor  lafay ,cofidis,cofidis-2023,france,1.77,65,lyon,victor-lafay,27,18,0,0,0,0,119.6875,0,0,0,0,93,1,4,7,331,75.91891892,0.010752688,0.043010753,0.075268817,3.559139785,6,0,0,0,0,112.6666667,0,0,0,0,5,0,0,0,66,0,0,0,13.2,40,0,1,3,204,51.52173913,0,0.025,0.075,5.1,19,0.162393162,peloton-guy
51,rémy  rochas ,cofidis,cofidis-2023,france,1.64,51,la motte-servolex,remy-rochas,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rookie
52,françois  bidard ,cofidis,cofidis-2023,france,1.8,65,lonlay-l'abbaye,francois-bidard,30,21,0,0,0,0,78.95238095,0,0,0,0,100,0,1,4,99,61.97727273,0,0.01,0.04,0.99,12,0,0,0,0,119.9166667,0,0,0,0,8,0,0,0,115,0,0,0,14.375,26,0,0,1,46,57.93333333,0,0,0.038461538,1.769230769,11,0.082706767,peloton-guy
53,alexis  renard ,cofidis,cofidis-2023,france,1.86,75,saint-brieuc,alexis-renard,23,28,0,2,3,150,62.16,0,0.071428571,0.107142857,5.357142857,43,0,0,0,21,83.79411765,0,0,0,0.488372093,4,0,0,0,0,91,0,0,0,0,4,0,0,0,20,0,0,0,5,34,0,1,1,126,62.86956522,0,0.029411765,0.029411765,3.705882353,12,0.157894737,rookie
54,alexandre  delettre ,cofidis,cofidis-2023,france,1.7,62,gonesse,alexandre-delettre,25,18,0,0,0,5,77.6,0,0,0,0.277777778,43,0,0,2,85,57.35,0,0,0.046511628,1.976744186,1,0,0,0,0,74,0,0,0,0,2,0,0,0,10,0,0,0,5,48,0,0,2,90,54.80952381,0,0,0.041666667,1.875,6,0.096774194,rookie
55,eddy  finé ,cofidis,cofidis-2023,france,1.8,70,herbeys,eddy-fine,25,28,0,0,0,18,85.59090909,0,0,0,0.642857143,50,0,0,1,68,70.13043478,0,0,0.02,1.36,3,0,0,0,0,135.3333333,0,0,0,0,2,0,0,0,25,0,0,0,12.5,52,0,0,1,86,63.80952381,0,0,0.019230769,1.653846154,10,0.12345679,rookie
56,andre  carvalho ,cofidis,cofidis-2023,portugal,1.81,66,vila nova de famalicão,andre-carvalho,25,36,0,0,0,27,70.5862069,0,0,0,0.75,26,0,0,0,35,93.2,0,0,0,1.346153846,2,0,0,0,0,87.5,0,0,0,0,1,0,0,0,5,0,0,0,5,52,0,0,0,62,75.90243902,0,0,0,1.192307692,13,0.2,rookie
57,thomas  champion ,cofidis,cofidis-2023,france,1.93,70,saint-sébastien-sur-loire,thomas-champion,23,18,0,0,0,0,98.42857143,0,0,0,0,81,0,0,0,20,87.47058824,0,0,0,0.24691358,7,0,0,0,0,103.1428571,0,0,0,0,6,0,0,0,45,0,0,0,7.5,49,0,0,0,20,75.625,0,0,0,0.408163265,17,0.160377358,peloton-guy
58,axel  mariault ,cofidis,cofidis-2023,france,1.69,58,liffré,axel-mariault,24,4,0,0,0,0,70.5,0,0,0,0,19,0,0,0,24,53.69230769,0,0,0,1.263157895,,,,,,,,,,,,,,,,,,,,23,0,0,0,24,57.64705882,0,0,0,1.043478261,6,0.260869565,rookie
59,hugo  toumire ,cofidis,cofidis-2023,france,1.8,69,rouen,hugo-toumire,21,6,0,0,0,0,59.83333333,0,0,0,0,35,0,0,0,12,68.06451613,0,0,0,0.342857143,1,0,0,0,0,100,0,0,0,0,1,0,0,0,5,0,0,0,5,28,0,0,0,12,61.6,0,0,0,0.428571429,4,0.095238095,rookie
60,harrison  wood ,cofidis,cofidis-2023,great britain,1.85,64,none,harrison-wood,22,7,0,0,0,0,76.5,0,0,0,0,6,0,0,0,5,80.66666667,0,0,0,0.833333333,,,,,,,,,,,1,0,0,0,5,0,0,0,5,8,0,0,0,5,61.42857143,0,0,0,0.625,1,0.076923077,rookie
61,rigoberto  urán ,ef education-easypost,ef-education-easypost-2023,colombia,1.73,63,urrao,rigoberto-uran,36,34,0,0,0,0,61.39393939,0,0,0,0,124,1,1,20,611,35.04237288,0.008064516,0.008064516,0.161290323,4.927419355,14,1,1,4,184,31.35714286,0.071428571,0.071428571,0.285714286,13.14285714,10,0,1,6,1245,0,0.1,0.6,124.5,17,0,0,5,311,28.06666667,0,0,0.294117647,18.29411765,4,0.023255814,climber
62,richard  carapaz ,ef education-easypost,ef-education-easypost-2023,ecuador,1.7,62,el carmelo,richard-carapaz,29,41,0,0,0,4,49.51219512,0,0,0,0.097560976,147,8,17,43,1869,25.96376812,0.054421769,0.115646259,0.292517007,12.71428571,18,0,0,3,38,30.94444444,0,0,0.166666667,2.111111111,13,2,6,6,2127,0.153846154,0.461538462,0.461538462,163.6153846,17,1,1,2,516,27.8,0.058823529,0.058823529,0.117647059,30.35294118,6,0.029126214,climber
